2023-05-17 18:05:523 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:441 INFO  Homepage :33 - Click on : [[ChromeDriver: chrome on WINDOWS (e8c0a07869b59e944ea14a6c467b1787)] -> xpath: //a[normalize-space()='Search Cars']]
2023-05-17 18:05:896 INFO  NewAndUsedCarPage :38 - Get text : [[ChromeDriver: chrome on WINDOWS (e8c0a07869b59e944ea14a6c467b1787)] -> xpath: //h1]
2023-05-17 18:05:171 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:106 INFO  Homepage :33 - Click on : [[ChromeDriver: chrome on WINDOWS (eaf93165d62169569c68a080b0e6614c)] -> xpath: //a[normalize-space()='Search Cars']]
2023-05-17 18:05:419 INFO  NewAndUsedCarPage :38 - Get text : [[ChromeDriver: chrome on WINDOWS (eaf93165d62169569c68a080b0e6614c)] -> xpath: //h1]
2023-05-17 18:05:276 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:598 INFO  Homepage :33 - Click on : [[ChromeDriver: chrome on WINDOWS (454878963a1d6baa9611c044b514d0bb)] -> xpath: //a[normalize-space()='Search Cars']]
2023-05-17 18:05:682 INFO  NewAndUsedCarPage :38 - Get text : [[ChromeDriver: chrome on WINDOWS (454878963a1d6baa9611c044b514d0bb)] -> xpath: //h1]
2023-05-17 18:05:402 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:380 INFO  Homepage :33 - Click on : [[ChromeDriver: chrome on WINDOWS (0ab0be57a844c00c29f4fa942ca5ad85)] -> xpath: //a[normalize-space()='Search Cars']]
2023-05-17 18:05:232 INFO  NewAndUsedCarPage :38 - Get text : [[ChromeDriver: chrome on WINDOWS (0ab0be57a844c00c29f4fa942ca5ad85)] -> xpath: //h1]
2023-05-17 18:05:471 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:557 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:831 INFO  Homepage :33 - Click on : [[ChromeDriver: chrome on WINDOWS (0491fb15c93a4f23c0a219677aa18a39)] -> xpath: //a[normalize-space()='Search Cars']]
2023-05-17 18:05:693 INFO  NewAndUsedCarPage :38 - Get text : [[ChromeDriver: chrome on WINDOWS (0491fb15c93a4f23c0a219677aa18a39)] -> xpath: //h1]
2023-05-17 18:05:691 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:01 INFO  NewAndUsedCarPage :38 - Get text : Proxy element for: DefaultElementLocator 'By.xpath: //h1'
2023-05-17 18:05:818 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:608 INFO  NewAndUsedCarPage :38 - Get text : Proxy element for: DefaultElementLocator 'By.xpath: //h1'
2023-05-17 18:05:675 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:90 INFO  NewAndUsedCarPage :38 - Get text : Proxy element for: DefaultElementLocator 'By.xpath: //h1'
2023-05-17 18:05:203 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:577 INFO  NewAndUsedCarPage :38 - Get text : Proxy element for: DefaultElementLocator 'By.xpath: //h1'
2023-05-17 18:05:142 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:154 INFO  NewAndUsedCarPage :38 - Get text : Proxy element for: DefaultElementLocator 'By.xpath: //h1'
2023-05-17 18:05:323 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:51 INFO  NewAndUsedCarPage :38 - Get text : Proxy element for: DefaultElementLocator 'By.xpath: //h1'
2023-05-17 18:05:925 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:66 INFO  Homepage :39 - Click on : [[ChromeDriver: chrome on WINDOWS (0b6262305a587cc085cda8114ca03ca1)] -> xpath: //a[normalize-space()='Used']]
2023-05-17 18:05:153 INFO  NewAndUsedCarPage :38 - Get text : [[ChromeDriver: chrome on WINDOWS (0b6262305a587cc085cda8114ca03ca1)] -> xpath: //h1]
2023-05-17 18:05:243 INFO  NewAndUsedCarPage :43 - Select : [[ChromeDriver: chrome on WINDOWS (0b6262305a587cc085cda8114ca03ca1)] -> id: makes]
2023-05-17 18:05:634 INFO  NewAndUsedCarPage :47 - Select : [[ChromeDriver: chrome on WINDOWS (0b6262305a587cc085cda8114ca03ca1)] -> id: models]
2023-05-17 18:05:747 INFO  NewAndUsedCarPage :51 - Select : [[ChromeDriver: chrome on WINDOWS (0b6262305a587cc085cda8114ca03ca1)] -> id: locations]
2023-05-17 18:05:857 INFO  NewAndUsedCarPage :55 - Select : [[ChromeDriver: chrome on WINDOWS (0b6262305a587cc085cda8114ca03ca1)] -> id: priceTo]
2023-05-17 18:05:422 INFO  NewAndUsedCarPage :59 - Click on : [[ChromeDriver: chrome on WINDOWS (0b6262305a587cc085cda8114ca03ca1)] -> xpath: //input[@id='search-submit']]
2023-05-17 18:05:491 INFO  ResultPage :22 - Get text : [[ChromeDriver: chrome on WINDOWS (0b6262305a587cc085cda8114ca03ca1)] -> xpath: //h1]
2023-05-17 18:05:288 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:651 INFO  Homepage :39 - Click on : [[ChromeDriver: chrome on WINDOWS (61cd76cab5bb0b608f6c9ced8e2ed355)] -> xpath: //a[normalize-space()='Used']]
2023-05-17 18:05:74 INFO  NewAndUsedCarPage :38 - Get text : [[ChromeDriver: chrome on WINDOWS (61cd76cab5bb0b608f6c9ced8e2ed355)] -> xpath: //h1]
2023-05-17 18:05:944 INFO  NewAndUsedCarPage :43 - Select : [[ChromeDriver: chrome on WINDOWS (61cd76cab5bb0b608f6c9ced8e2ed355)] -> id: makes]
2023-05-17 18:05:98 INFO  NewAndUsedCarPage :47 - Select : [[ChromeDriver: chrome on WINDOWS (61cd76cab5bb0b608f6c9ced8e2ed355)] -> id: models]
2023-05-17 18:05:220 INFO  NewAndUsedCarPage :51 - Select : [[ChromeDriver: chrome on WINDOWS (61cd76cab5bb0b608f6c9ced8e2ed355)] -> id: locations]
2023-05-17 18:05:346 INFO  NewAndUsedCarPage :55 - Select : [[ChromeDriver: chrome on WINDOWS (61cd76cab5bb0b608f6c9ced8e2ed355)] -> id: priceTo]
2023-05-17 18:05:364 INFO  NewAndUsedCarPage :59 - Click on : [[ChromeDriver: chrome on WINDOWS (61cd76cab5bb0b608f6c9ced8e2ed355)] -> xpath: //input[@id='search-submit']]
2023-05-17 18:05:403 INFO  ResultPage :22 - Get text : [[ChromeDriver: chrome on WINDOWS (61cd76cab5bb0b608f6c9ced8e2ed355)] -> xpath: //h1]
2023-05-17 18:05:847 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:272 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 18:05:242 INFO  Homepage :39 - Click on : [[ChromeDriver: chrome on WINDOWS (429e040ce8b55c8f423b3740b75a6bec)] -> xpath: //a[normalize-space()='Used']]
2023-05-17 18:05:219 INFO  NewAndUsedCarPage :38 - Get text : [[ChromeDriver: chrome on WINDOWS (429e040ce8b55c8f423b3740b75a6bec)] -> xpath: //h1]
2023-05-17 18:05:580 INFO  NewAndUsedCarPage :43 - Select : [[ChromeDriver: chrome on WINDOWS (429e040ce8b55c8f423b3740b75a6bec)] -> id: makes]
2023-05-17 18:05:762 INFO  NewAndUsedCarPage :47 - Select : [[ChromeDriver: chrome on WINDOWS (429e040ce8b55c8f423b3740b75a6bec)] -> id: models]
2023-05-17 18:05:874 INFO  NewAndUsedCarPage :51 - Select : [[ChromeDriver: chrome on WINDOWS (429e040ce8b55c8f423b3740b75a6bec)] -> id: locations]
2023-05-17 18:05:981 INFO  NewAndUsedCarPage :55 - Select : [[ChromeDriver: chrome on WINDOWS (429e040ce8b55c8f423b3740b75a6bec)] -> id: priceTo]
